Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2016"",""2016"",""1000 $"",""42"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2017"",""2017"",""1000 $"",""42"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2018"",""2018"",""1000 $"",""58"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2019"",""2019"",""1000 $"",""31"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2020"",""2020"",""1000 $"",""62"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""95"",""Export Value Base Price"",""564"",""Wine"",""2015"",""2015"",""1000 $"",""15"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""95"",""Export Value Base Price"",""564"",""Wine"",""2016"",""2016"",""1000 $"",""61"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""95"",""Export Value Base Price"",""564"",""Wine"",""2017"",""2017"",""1000 $"",""94"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""95"",""Export Value Base Price"",""564"",""Wine"",""2018"",""2018"",""1000 $"",""118"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""95"",""Export Value Base Price"",""564"",""Wine"",""2019"",""2019"",""1000 $"",""342"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""95"",""Export Value Base Price"",""564"",""Wine"",""2020"",""2020"",""1000 $"",""88"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""108"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""81"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""111"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""85"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""47"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""48"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""99"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""99"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""111"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""113"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""123"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""109"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""110"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""82"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""100"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""75"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""38"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""44"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""42"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""175"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""269"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""470"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""715"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""368"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""107"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""112"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""111"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""154"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""81"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""162"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""39"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""158"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""245"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""308"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""892"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""229"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""21"",""Brazil"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2015"",""2015"",""1000 $"",""303999"",""Fc"",""Calculated data"""
